# dataset: /DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM
# preferred site: T1_US_FNAL_Disk (root://cmsxrootd.fnal.gov/)
# files: 1731  events: 96424820  bytes: 4385522296149 (4.386 TB)
#lfn	size	nevents	adler32	source
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/0A53D8D7-0378-8B45-8E8A-2313927DC141.root	2105734308	46197	7773e327	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/0AA47289-6559-C14E-87B5-5C841180126D.root	1891602490	41499	547848a0	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/0CA1DF98-B8BE-E241-99B1-DEB0185381C5.root	2675097122	58725	363dc2af	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/0E66B7F0-740C-4D4A-9D29-82BD842D5208.root	535112445	11745	cfb716d3	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/0E9D2821-505D-B54B-864B-8381211AAE17.root	2344843006	51678	8b8397d6	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/0F310D17-3CD0-024B-81FD-8AF128A09A96.root	2564146767	56376	0a23b454	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/10824FB7-521B-7A46-91D6-4B06D0737EF8.root	962761500	21141	5df48ebc	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/108AE1C1-E0FA-1F4C-94DE-EC50C27457A7.root	2203536785	48546	9b08c4ef	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/10DB5BA6-E753-0142-8CC7-937B0BCD4B95.root	2176831386	47763	e2d515ba	root://cmsxrootd.fnal.gov/
/store/mc/RunIISummer20UL16MiniAODv2/DYJetsToMuMu_H2ErratumFix_TuneCP5_13TeV-powhegMiNNLO-pythia8-photos/MINIAODSIM/106X_mcRun2_asymptotic_v17-v2/2820000/11FFB8B6-C662-504B-AF42-E961E0803850.root	2631995546	57942	adb1182f	root://cmsxrootd.fnal.gov/
